"ID","Title","Hyperlink","Make","Model","Year","Mileage","Fuel Type","Transmission","Body Type","Seats","Engine Size(Litres)","Road Tax","NCT Expiry","Country of Registeration","Colour","Doors","Views","Days Online"
"25801732","Audi A5 Sportback S Line 168BHP","https://www.donedeal.ie/cars-for-sale/audi-a5-sportback-s-line-168bhp/25801732","Audi","A5","2011","125603 mi","Diesel","Manual","Hatchback","5","2.0","280","May 2021","Ireland","Red","5","761","3 days"
"25872254","ESTATE HIGH SPEC FULL HISTORY NEW NCT LOW TAX","https://www.donedeal.ie/cars-for-sale/estate-high-spec-full-history-new-nct-low-tax/25872254","Hyundai","I40","2013","118000 mi","Diesel","Manual","Estate","5","1.7","200","Jul 2021","Ireland","Grey","4","192","2 days"
"25599460","2011 Volkswagen Golf 1.6 Diesel R-line","https://www.donedeal.ie/cars-for-sale/2011-volkswagen-golf-1-6-diesel-r-line/25599460","Volkswagen","Golf","2011","170000 mi","Diesel","Manual","Estate/Jeep","","1.6","200","Dec 2021","Ireland","Black","4","319","2 days"
"25888992","IMMACULATE AUDI A6 ULTRA S-TRONIC BUSINESS 2017","https://www.donedeal.ie/cars-for-sale/immaculate-audi-a6-ultra-s-tronic-business-2017/25888992","Audi","A6","2017","80000 mi","Diesel","Automatic","Saloon","","2.0","190","","Ireland","White","4","113","16 hours"
"25496632","AUDI A6 TFSI S LINE Auto.","https://www.donedeal.ie/cars-for-sale/audi-a6-tfsi-s-line-auto-/25496632","Audi","A6","2007","140000 mi","Petrol","Automatic","Estate","5","2.0","710","Jul 2021","Ireland","Silver","5","643","6 days"
"25390415","☘️152 LEXUS RX 3.5 450H F-SPORT(rare)","https://www.donedeal.ie/cars-for-sale/152-lexus-rx-3-5-450h-f-sportrare/25390415","Lexus","RX450h","2015","59084 mi","Hybrid","Automatic","SUV","5","3.5","390","Dec 2021","Ireland","Black","5","216","1 day"
"25706736","BMW 5 Series 520D Xdrive SE Auto","https://www.donedeal.ie/cars-for-sale/bmw-5-series-520d-xdrive-se-auto/25706736","BMW","5-Series","2017","54367 mi","Diesel","Automatic","Saloon","","2.0","","","UK","Blue","4","119","1 day"
"25600931","Skoda Yeti, 2017 Outdoor -Sat Nav","https://www.donedeal.ie/cars-for-sale/skoda-yeti-2017-outdoor-sat-nav/25600931","Skoda","Yeti","2017","71000 mi","Diesel","Manual","SUV","5","2.0","15,725","","Ireland","Grey","5","230","4 days"
"25867900","VW Passat Exec 2014 Auto, 2.0 Diesel","https://www.donedeal.ie/cars-for-sale/vw-passat-exec-2014-auto-2-0-diesel/25867900","Volkswagen","Passat","2014","81824 mi","Diesel","Automatic","Saloon","5","2.0","280","Sep 2020","Ireland","Brown","4","321","2 days"
"25578359","Ford Fiesta Zetec 1.25 60ps M5 5DR","https://www.donedeal.ie/cars-for-sale/ford-fiesta-zetec-1-25-60ps-m5-5dr/25578359","Ford","Fiesta","2016","63000 km","Petrol","Manual","Hatchback","","1.2","270","Jan 2020","Ireland","Black","4","116","6 days"
