"ID","Title","Hyperlink","Make","Model","Year","Mileage","Fuel Type","Transmission","Body Type","Seats","Engine Size(Litres)","Road Tax","NCT Expiry","Country of Registeration","Colour","Doors","Views","Days Online"
"25416480","2018 ford mondeo vignale 2.0 tdci","https://www.donedeal.ie/cars-for-sale/2018-ford-mondeo-vignale-2-0-tdci/25416480","Ford","Mondeo","2018","19000 mi","Diesel","Manual","Hatchback","5","2.0","200","","Ireland","Brown","5","15","52 mins"
"25078515","Hyundai I10 2017 Mint Condition Low Mileage","https://www.donedeal.ie/cars-for-sale/hyundai-i10-2017-mint-condition-low-mileage/25078515","Hyundai","I10","2017","17000 mi","Petrol","Manual","Hatchback","5","1.0","180","Jun 2021","UK","Blue","5","3","52 mins"
"25864769","Mercedes C180 Kompressor AMG Sport","https://www.donedeal.ie/cars-for-sale/mercedes-c180-kompressor-amg-sport/25864769","Mercedes-Benz","C-Class","2008","260000 km","Petrol","Automatic","Saloon","5","1.8","636","Feb 2021","Ireland","Silver","4","276","1 day"
"25732589","Kia pro ceed 1.6 Crdi","https://www.donedeal.ie/cars-for-sale/kia-pro-ceed-1-6-crdi/25732589","Kia","Ceed","2012","","Diesel","","Hatchback","5","1.6","200","Sep 2021","Ireland","Silver","3","1,270","14 days"
"23152795","2017 BMW 520 G30 - Huge spec - with warranty","https://www.donedeal.ie/cars-for-sale/2017-bmw-520-g30-huge-spec-with-warranty/23152795","BMW","5-Series","2017","54000 mi","Diesel","Automatic","Saloon","5","2.0","190","May 2021","Ireland","Grey","4","322","23 days"
"24120958","BMW 5 Series 520 Z5n2 4DR Auto","https://www.donedeal.ie/cars-for-sale/bmw-5-series-520-z5n2-4dr-auto/24120958","BMW","5-Series","2016","60457 mi","Diesel","Automatic","Saloon","","2.0","200","Aug 2020","Ireland","Grey","4","207","10 days"
"25351623","2014 Mitsubishi ASX 1.8 Diesel","https://www.donedeal.ie/cars-for-sale/2014-mitsubishi-asx-1-8-diesel/25351623","Mitsubishi","ASX","2014","233000 km","Diesel","Manual","SUV","5","1.8","280","May 2022","Ireland","Grey","4","1,350","55 days"
"25821331","BMW 5 Series 520d M Sport Plus Auto","https://www.donedeal.ie/cars-for-sale/bmw-5-series-520d-m-sport-plus-auto/25821331","BMW","5-Series","2016","46604 mi","Diesel","Automatic","Saloon","","2.0","","Aug 2022","Ireland","Black","4","346","5 days"
"25577779","2015 Audi Q5 2.0 TDI Auto High Spec Pan roof","https://www.donedeal.ie/cars-for-sale/2015-audi-q5-2-0-tdi-auto-high-spec-pan-roof/25577779","Audi","Q5","2015","139000 mi","Diesel","Automatic","SUV","","2.0","570","Jul 2021","Ireland","Grey","4","131","10 hours"
"25747270","Car","https://www.donedeal.ie/cars-for-sale/car/25747270","Mercedes-Benz","E-Class","2018","58000 km","Diesel","Automatic","Coupe","4","2.0","200","Jan 2022","Ireland","Grey","2","530","13 days"
